name,role,origin,price,capped,country,ownerTeamCode,img
Dilan Perera,Batsman,Local,1000,false,Sri Lanka,,
Kavindu Jayasinghe,Bowler,Local,1000,false,Sri Lanka,,
Ravindu Fernando,All-rounder,Local,1000,false,Sri Lanka,,
Tharindu Senanayake,Wicket Keeper,Local,1000,false,Sri Lanka,,
Ashen Wijeratne,Batsman,Local,1000,false,Sri Lanka,,
Nipun Karunaratne,Bowler,Local,1000,false,Sri Lanka,,
Sahan Madushanka,All-rounder,Local,1000,false,Sri Lanka,,
Lahiru Gunasekara,Batsman,Local,1000,false,Sri Lanka,,
Chamod Wickramasinghe,Bowler,Local,1000,false,Sri Lanka,,
Dinuka Rajapaksha,All-rounder,Local,1000,false,Sri Lanka,,
Pasindu Herath,Batsman,Local,1000,false,Sri Lanka,,
Malith Jayawardena,Wicket Keeper,Local,1000,false,Sri Lanka,,
Kusal Bandara,Batsman,Local,1000,false,Sri Lanka,,
Isuru Dissanayake,Bowler,Local,1000,false,Sri Lanka,,
Janith Perera,All-rounder,Local,1000,false,Sri Lanka,,
Vihanga Silva,Batsman,Local,1000,false,Sri Lanka,,
Rukshan Fernando,Bowler,Local,1000,false,Sri Lanka,,
Minod Rathnayake,Wicket Keeper,Local,1000,false,Sri Lanka,,
Sachith Lakshan,All-rounder,Local,1000,false,Sri Lanka,,
Naveen Weerasinghe,Batsman,Local,1000,false,Sri Lanka,,
Yasiru Madushan,Bowler,Local,1000,false,Sri Lanka,,
Theekshana Jayalath,All-rounder,Local,1000,false,Sri Lanka,,
Akila Senaratne,Batsman,Local,1000,false,Sri Lanka,,
Dulaj Samarasinghe,Bowler,Local,1000,false,Sri Lanka,,
Hiruna Abeysekera,Wicket Keeper,Local,1000,false,Sri Lanka,,
Pavan Wickramaratne,Batsman,Local,1000,false,Sri Lanka,,
Sandun Ekanayake,All-rounder,Local,1000,false,Sri Lanka,,
Ravishka Peris,Bowler,Local,1000,false,Sri Lanka,,
Oshan Karunathilaka,Batsman,Local,1000,false,Sri Lanka,,
Kaveesha Mendis,All-rounder,Local,1000,false,Sri Lanka,,
Dineth Gunawardena,Bowler,Local,1000,false,Sri Lanka,,
Ramesh Jayasuriya,Batsman,Local,1000,false,Sri Lanka,,
Thilina Fernando,Wicket Keeper,Local,1000,false,Sri Lanka,,
Sanjula Weerakkody,All-rounder,Local,1000,false,Sri Lanka,,
Mihiranga de Silva,Bowler,Local,1000,false,Sri Lanka,,
Bhanuka Senanayake,Batsman,Local,1000,false,Sri Lanka,,
Chamika Perera,All-rounder,Local,1000,false,Sri Lanka,,
Hasitha Rodrigo,Bowler,Local,1000,false,Sri Lanka,,
Lasantha Wijekoon,Batsman,Local,1000,false,Sri Lanka,,
Supun Amarasinghe,Wicket Keeper,Local,1000,false,Sri Lanka,,
Kavishka Fernando,All-rounder,Local,1000,false,Sri Lanka,,
Rashmika Silva,Bowler,Local,1000,false,Sri Lanka,,
Nethmina Gunaratne,Batsman,Local,1000,false,Sri Lanka,,
Shenal Rajapaksha,All-rounder,Local,1000,false,Sri Lanka,,
Sadeera Karunaratne,Bowler,Local,1000,false,Sri Lanka,,
Imesh Wickramasinghe,Batsman,Local,1000,false,Sri Lanka,,
Yohan Maduranga,Wicket Keeper,Local,1000,false,Sri Lanka,,
Dasun Herath,All-rounder,Local,1000,false,Sri Lanka,,
Vinuja Perera,Bowler,Local,1000,false,Sri Lanka,,
Rayan Jayawardena,Batsman,Local,1000,false,Sri Lanka,,
Lakshan Bandara,All-rounder,Local,1000,false,Sri Lanka,,
Ayesh Dissanayake,Bowler,Local,1000,false,Sri Lanka,,
Sithum Fernando,Batsman,Local,1000,false,Sri Lanka,,
Kian Wijeratne,All-rounder,Local,1000,false,Sri Lanka,,
Ravindu Jayasena,Bowler,Local,1000,false,Sri Lanka,,
Maneesha Perera,Batsman,Local,1000,false,Sri Lanka,,
